"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions"
"Awakened Shrub","MM","Small","plant","unaligned","9","10 (3d6)","20 ft.","3","8","11","10","10","6","","","fire","piercing","","","passive Perception 10","one language known by its creator","0 (0 or 10 XP)"," False Appearance. While the shrub remains motionless, it is indistinguishable from a normal shrub."," Rake. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) slashing damage.","","",""
"Baboon","MM","Small","beast","unaligned","12","3 (1d6)","30 ft., climb 30 ft.","8","14","11","4","12","6","","","","","","","passive Perception 11","—","0 (0 or 10 XP)"," Pack Tactics. The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.","","",""
"Badger","MM","Tiny","beast","unaligned","10","3 (1d4 + 1)","20 ft., burrow 5 ft.","4","11","12","2","12","5","","","","","","","darkvision 30 ft., passive Perception 11","—","0 (0 or 10 XP)"," Keen Smell. The badger has advantage on Wisdom (Perception) checks that rely on smell."," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","",""
"Bat","MM","Tiny","beast","unaligned","12","1 (1d4 - 1)","5 ft., fly 30 ft.","2","15","8","2","12","4","","","","","","","blindsight 60 ft., passive Perception 11","—","0 (0 or 10 XP)"," Echolocation. The bat can't use its blindsight while deafened. Keen Hearing. The bat has advantage on Wisdom (Perception) checks that rely on hearing."," Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one creature. Hit: 1 piercing damage.","","",""
"Cat","MM","Tiny","beast","unaligned","12","2 (1d4)","40 ft., climb 30 ft.","3","15","10","3","12","7","","Perception +3, Stealth +4","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Keen Smell. The cat has advantage on Wisdom (Perception) checks that rely on smell."," Claws. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.","","",""
"Commoner","MM","Medium","humanoid (any race)","any alignment","10","4 (1d8)","30 ft.","10","10","10","10","10","10","","","","","","","passive Perception 10","any one language (usually Common)","0 (0 or 10 XP)",""," Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.","","",""
"Crab","MM","Tiny","beast","unaligned","11 (natural armor)","2 (1d4)","20 ft., swim 20 ft.","2","11","10","1","8","2","","Stealth +2","","","","","blindsight 30 ft., passive Perception 9","—","0 (0 or 10 XP)"," Amphibious. The crab can breathe air and water."," Claw. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage.","","",""
"Deer","MM","Medium","beast","unaligned","13","4 (1d8)","50 ft.","11","16","11","2","14","5","","","","","","","passive Perception 12","—","0 (0 or 10 XP)",""," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.","","",""
"Eagle","MM","Small","beast","unaligned","12","3 (1d6)","10 ft., fly 60 ft.","6","15","10","2","14","7","","Perception +4","","","","","passive Perception 14","—","0 (0 or 10 XP)"," Keen Sight. The eagle has advantage on Wisdom (Perception) checks that rely on sight."," Talons. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.","","",""
"Frog","MM","Tiny","beast","unaligned","11","1 (1d4 - 1)","20 ft., swim 20 ft.","1","13","8","1","8","3","","Perception +1, Stealth +3","","","","","darkvision 30 ft., passive Perception 11","—","0 (0 or 10 XP)"," Amphibious. The frog can breathe air and water. Standing Leap. The frog's long jump is up to 10 feet and its high jump is up to 5 feet, with or without a running start.","","","",""
