"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions"
"Air Elemental","MM","Large","elemental","neutral","15","90 (12d10 + 24)","0 ft., fly 90 ft. (hover)","14","20","14","6","10","6","","","","lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","darkvision 60 ft., passive Perception 10","Auran","5 (1,800 XP)"," Air Form. The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing."," Multiattack. The elemental makes two slam attacks. Slam. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage. Whirlwind (Recharge 4–6). Each creature in the elemental's space must make a DC 13 Strength saving throw. On a failure, a target takes 15 (3d8 + 2) bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked prone. If a thrown target strikes an object, such as a wall or floor, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 13 Dexterity saving throw or take the same damage and be knocked prone.If the saving throw is successful, the target takes half the bludgeoning damage and isn't flung away or knocked prone.","",""
"Earth Elemental","MM","Large","elemental","neutral","17 (natural armor)","126 (12d10 + 60)","30 ft., burrow 30 ft.","20","8","20","5","10","5","","","thunder","bludgeoning, piercing, and slashing from nonmagical attacks","poison","exhaustion, paralyzed, petrified, poisoned, unconscious","darkvision 60 ft., tremorsense 60 ft., passive Perception 10","Terran","5 (1,800 XP)"," Earth Glide. The elemental can burrow through nonmagical, unworked earth and stone. While doing so, the elemental doesn't disturb the material it moves through. Siege Monster. The elemental deals double damage to objects and structures."," Multiattack. The elemental makes two slam attacks. Slam. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage.","",""
"Fire Elemental","MM","Large","elemental","neutral","13","102 (12d10 + 36)","50 ft.","10","17","16","6","10","7","","","","bludgeoning, piercing, and slashing from nonmagical attacks","fire, poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","darkvision 60 ft., passive Perception 10","Ignan","5 (1,800 XP)"," Fire Form. The elemental can move through a space as narrow as 1 inch wide without squeezing. A creature that touches the elemental or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage. In addition, the elemental can enter a hostile creature's space and stop there. The first time it enters a creature's space on a turn, that creature takes 5 (1d10) fire damage and catches fire; until someone takes an action to douse the fire, the creature takes 5 (1d10) fire damage at the start of each of its turns. Illumination. The elemental sheds bright light in a 30-foot radius and dim light in an additional 30 feet. Water Susceptibility. For every 5 feet the elemental moves in water, or for every gallon of water splashed on it, it takes 1 cold damage."," Multiattack. The elemental makes two touch attacks. Touch. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) fire damage. If the target is a creature or a flammable object, it ignites. Until a creature takes an action to douse the fire, the target takes 5 (1d10) fire damage at the start of each of its turns.","",""
"Flesh Golem","MM","Medium","construct","neutral","9","93 (11d8 + 44)","30 ft.","19","9","18","6","10","5","","","","","lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","darkvision 60 ft., passive Perception 10","understands the languages of its creator but can't speak","5 (1,800 XP)"," Aversion of Fire. If the golem takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn. Berserk. Whenever the golem starts its turn with 40 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points.The golem's creator, if within 60 feet of the berserk golem, can try to calm it by speaking firmly and persuasively. The golem must be able to hear its creator, who must take an action to make a DC 15 Charisma (Persuasion) check. If the check succeeds, the golem ceases being berserk. If it takes damage while still at 40 hit points or fewer, the golem might go berserk again. Immutable Form. The golem is immune to any spell or effect that would alter its form. Lightning Absorption. Whenever the golem is subjected to lightning damage, it takes no damage and instead regains a number of hit points equal to the lightning damage dealt. Magic Resistance. The golem has advantage on saving throws against spells and other magical effects. Magic Weapons. The golem's weapon attacks are magical."," Multiattack. The golem makes two slam attacks. Slam. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage.","",""
"Giant Crocodile","MM","Huge","beast","unaligned","14 (natural armor)","85 (9d12 + 27)","30 ft., swim 50 ft.","21","9","17","2","10","7","","Stealth +5","","","","","passive Perception 10","—","5 (1,800 XP)"," Hold Breath. The crocodile can hold its breath for 30 minutes."," Multiattack. The crocodile makes two attacks: one with its bite and one with its tail. Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 21 (3d10 + 5) piercing damage, and the target is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the crocodile can't bite another target. Tail. Melee Weapon Attack: +8 to hit, reach 10 ft., one target not grappled by the crocodile. Hit: 14 (2d8 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 16 Strength saving throw or be knocked prone.","",""
"Giant Shark","MM","Huge","beast","unaligned","13 (natural armor)","126 (11d12 + 55)","0 ft., swim 50 ft.","23","11","21","1","10","5","","Perception +3","","","","","blindsight 60 ft., passive Perception 13","—","5 (1,800 XP)"," Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points. Water Breathing. The shark can breathe only underwater."," Bite. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 22 (3d10 + 6) piercing damage.","",""
"Hill Giant","MM","Huge","giant","chaotic evil","13 (natural armor)","105 (10d12 + 40)","40 ft.","21","8","19","5","9","6","","Perception +2","","","","","passive Perception 12","Giant","5 (1,800 XP)",""," Multiattack. The giant makes two greatclub attacks. Greatclub. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 18 (3d8 + 5) bludgeoning damage. Rock. Ranged Weapon Attack: +8 to hit, range 60/240 ft., one target. Hit: 21 (3d10 + 5) bludgeoning damage.","",""
"Triceratops","MM","Huge","beast","unaligned","13 (natural armor)","95 (10d12 + 30)","50 ft.","22","9","17","2","11","5","","","","","","","passive Perception 10","—","5 (1,800 XP)"," Trampling Charge. If the triceratops moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the triceratops can make one stomp attack against it as a bonus action."," Gore. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 24 (4d8 + 6) piercing damage. Stomp. Melee Weapon Attack: +9 to hit, reach 5 ft., one prone creature. Hit: 22 (3d10 + 6) bludgeoning damage","",""
"Troll","MM","Large","giant","chaotic evil","15 (natural armor)","84 (8d10 + 40)","30 ft.","18","13","20","7","9","7","","Perception +2","","","","","darkvision 60 ft., passive Perception 12","Giant","5 (1,800 XP)"," Keen Smell. The troll has advantage on Wisdom (Perception) checks that rely on smell. Regeneration. The troll regains 10 hit points at the start of its turn. If the troll takes acid or fire damage, this trait doesn't function at the start of the troll's next turn. The troll dies only if it starts its turn with 0 hit points and doesn't regenerate."," Multiattack. The troll makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","",""
"Water Elemental","MM","Large","elemental","neutral","14 (natural armor)","114 (12d10 + 48)","30 ft., swim 90 ft.","18","14","18","5","10","8","","","","acid; bludgeoning, piercing, and slashing from nonmagical attacks","poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","darkvision 60 ft., passive Perception 10","Aquan","5 (1,800 XP)"," Freeze. If the elemental takes cold damage, it partially freezes; its speed is reduced by 20 feet until the end of its next turn. Water Form. The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing."," Multiattack. The elemental makes two slam attacks. Slam. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage. Whelm (Recharge 4–6). Each creature in the elemental's space must make a DC 15 Strength saving throw. On a failure, a target takes 13 (2d8 + 4) bludgeoning damage. If it is Large or smaller, it is also grappled (escape DC 14). Until this grapple ends, the target is restrained and unable to breathe unless it can breathe water. If the saving throw is successful, the target is pushed out of the elemental's space.The elemental can grapple one Large creature or up to two Medium or smaller creatures at one time. At the start of each of the elemental's turns, each target grappled by it takes 13 (2d8 + 4) bludgeoning damage. A creature within 5 feet of the elemental can pull a creature or object out of it by taking an action to make a DC 14 Strength check and succeeding.","",""
