"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions"
"Bandit","MM","Medium","humanoid (any race)","any non-lawful alignment","12 (leather armor)","11 (2d8 + 2)","30 ft.","11","12","12","10","10","10","","","","","","","passive Perception 10","any one language (usually Common)","1/8 (25 XP)",""," Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage. Light Crossbow. Ranged Weapon Attack: +3 to hit, range 80/320 ft., one target. Hit: 5 (1d8 + 1) piercing damage.","",""
"Blood Hawk","MM","Small","beast","unaligned","12","7 (2d6)","10 ft., fly 60 ft.","6","14","10","3","14","5","","Perception +4","","","","","passive Perception 14","—","1/8 (25 XP)"," Keen Sight. The hawk has advantage on Wisdom (Perception) checks that rely on sight. Pack Tactics. The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 feet of the creature and the ally isn't incapacitated."," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","",""
"Camel","MM","Large","beast","unaligned","9","15 (2d10 + 4)","50 ft.","16","8","14","2","8","5","","","","","","","passive Perception 9","—","1/8 (25 XP)",""," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.","",""
"Cultist","MM","Medium","humanoid (any race)","any non-good alignment","12 (leather armor)","9 (2d8)","30 ft.","11","12","10","10","11","10","","Deception +2, Religion +2","","","","","passive Perception 10","any one language (usually Common)","1/8 (25 XP)"," Dark Devotion. The cultist has advantage on saving throws against being charmed or frightened."," Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) slashing damage.","",""
"Flying Snake","MM","Tiny","beast","unaligned","14","5 (2d4)","30 ft., fly 60 ft., swim 30 ft.","4","18","11","2","12","5","","","","","","","blindsight 10 ft., passive Perception 11","—","1/8 (25 XP)"," Flyby. The snake doesn't provoke opportunity attacks when it flies out of an enemy's reach."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 1 piercing damage plus 7 (3d4) poison damage.","",""
"Giant Crab","MM","Medium","beast","unaligned","15 (natural armor)","13 (3d8)","30 ft., swim 30 ft.","13","15","11","1","9","3","","Stealth +4","","","","","blindsight 30 ft., passive Perception 9","—","1/8 (25 XP)"," Amphibious. The crab can breathe air and water."," Claw. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage, and the target is grappled (escape DC 11). The crab has two claws, each of which can grapple only one target.","",""
"Giant Rat","MM","Small","beast","unaligned","12","7 (2d6)","30 ft.","7","15","11","2","10","4","","","","","","","darkvision 60 ft., passive Perception 10","—","1/8 (25 XP)"," Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell. Pack Tactics. The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","",""
"Giant Weasel","MM","Medium","beast","unaligned","13","9 (2d8)","40 ft.","11","16","10","4","12","5","","Perception +3, Stealth +5","","","","","darkvision 60 ft., passive Perception 13","—","1/8 (25 XP)"," Keen Hearing and Smell. The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.","",""
"Guard","MM","Medium","humanoid (any race)","any alignment","16 (chain shirt, shield)","11 (2d8 + 2)","30 ft.","13","12","12","10","11","10","","Perception +2","","","","","passive Perception 12","any one language (usually Common)","1/8 (25 XP)",""," Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.","",""
"Kobold","MM","Small","humanoid (kobold)","lawful evil","12","5 (2d6 - 2)","30 ft.","7","15","9","8","7","8","","","","","","","darkvision 60 ft., passive Perception 8","Common, Draconic","1/8 (25 XP)"," Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Dagger. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.","",""
"Mastiff","MM","Medium","beast","unaligned","12","5 (1d8 + 1)","40 ft.","13","14","12","3","12","7","","Perception +3","","","","","passive Perception 13","—","1/8 (25 XP)"," Keen Hearing and Smell. The mastiff has advantage on Wisdom (Perception) checks that rely on hearing or smell."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.","",""
"Merfolk","MM","Medium","humanoid (merfolk)","neutral","11","11 (2d8 + 2)","10 ft., swim 40 ft.","10","13","12","11","11","12","","Perception +2","","","","","passive Perception 12","Aquan, Common","1/8 (25 XP)"," Amphibious. The merfolk can breathe air and water."," Spear. Melee or Ranged Weapon Attack: +2 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 3 (1d6) piercing damage, or 4 (1d8) piercing damage if used with two hands to make a melee attack.","",""
"Mule","MM","Medium","beast","unaligned","10","11 (2d8 + 2)","40 ft.","14","10","13","2","10","5","","","","","","","passive Perception 10","—","1/8 (25 XP)"," Beast of Burden. The mule is considered to be a Large animal for the purpose of determining its carrying capacity. Sure-Footed. The mule has advantage on Strength and Dexterity saving throws made against effects that would knock it prone."," Hooves. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.","",""
"Poisonous Snake","MM","Tiny","beast","unaligned","13","2 (1d4)","30 ft., swim 30 ft.","2","16","11","1","10","3","","","","","","","blindsight 10 ft., passive Perception 10","—","1/8 (25 XP)",""," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage, and the target must make a DC 10 Constitution saving throw, taking 5 (2d4) poison damage on a failed save, or half as much damage on a successful one.","",""
"Pony","MM","Medium","beast","unaligned","10","11 (2d8 + 2)","40 ft.","15","10","13","2","11","7","","","","","","","passive Perception 10","—","1/8 (25 XP)",""," Hooves. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) bludgeoning damage.","",""
"Stirge","MM","Tiny","beast","unaligned","14 (natural armor)","2 (1d4)","10 ft., fly 40 ft.","4","16","11","2","8","6","","","","","","","darkvision 60 ft., passive Perception 9","—","1/8 (25 XP)",""," Blood Drain. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) piercing damage, and the stirge attaches to the target. While attached, the stirge doesn't attack. Instead, at the start of each of the stirge's turns, the target loses 5 (1d4 + 3) hit points due to blood loss.The stirge can detach itself by spending 5 feet of its movement. It does so after it drains 10 hit points of blood from the target or the target dies. A creature, including the target, can use its action to detach the stirge.","",""
"Twig Blight","MM","Small","plant","neutral evil","13 (natural armor)","4 (1d6 + 1)","20 ft.","6","13","12","4","8","3","","Stealth +3","fire","","","blinded, deafened","blindsight 60 ft. (blind beyond this radius), passive Perception 9","understands Common but can't speak","1/8 (25 XP)"," False Appearance. While the blight remains motionless, it is indistinguishable from a dead shrub."," Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage.","",""
