"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions"
"Ape","MM","Medium","beast","unaligned","12","19 (3d8 + 6)","30 ft., climb 30 ft.","16","14","14","6","12","7","","Athletics +5, Perception +3","","","","","passive Perception 13","—","1/2 (100 XP)",""," Multiattack. The ape makes two fist attacks. Fist. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Rock. Ranged Weapon Attack: +5 to hit, range 25/50 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage.","",""
"Black Bear","MM","Medium","beast","unaligned","11 (natural armor)","19 (3d8 + 6)","40 ft., climb 30 ft.","15","10","14","2","12","7","","Perception +3","","","","","passive Perception 13","—","1/2 (100 XP)"," Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage.","",""
"Cockatrice","MM","Small","monstrosity","unaligned","11","27 (6d6 + 6)","20 ft., fly 40 ft.","6","12","12","2","13","5","","","","","","","darkvision 60 ft., passive Perception 11","—","1/2 (100 XP)",""," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw against being magically petrified. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified for 24 hours.","",""
"Crocodile","MM","Large","beast","unaligned","12 (natural armor)","19 (3d10 + 3)","20 ft., swim 30 ft.","15","10","13","2","10","5","","Stealth +2","","","","","passive Perception 10","—","1/2 (100 XP)"," Hold Breath. The crocodile can hold its breath for 15 minutes."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the crocodile can't bite another target","",""
"Giant Goat","MM","Large","beast","unaligned","11 (natural armor)","19 (3d10 + 3)","40 ft.","17","11","12","3","12","6","","","","","","","passive Perception 11","—","1/2 (100 XP)"," Charge. If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 5 (2d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone. Sure-Footed. The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone."," Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) bludgeoning damage.","",""
"Giant Sea Horse","MM","Large","beast","unaligned","13 (natural armor)","16 (3d10)","0 ft., swim 40 ft.","12","15","11","2","12","5","","","","","","","passive Perception 11","—","1/2 (100 XP)"," Charge. If the sea horse moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) bludgeoning damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone. Water Breathing. The sea horse can breathe only underwater."," Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage.","",""
"Giant Wasp","MM","Medium","beast","unaligned","12","13 (3d8)","10 ft., fly 50 ft.","10","14","10","1","10","3","","","","","","","passive Perception 10","—","1/2 (100 XP)",""," Sting. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.","",""
"Gnoll","MM","Medium","humanoid (gnoll)","chaotic evil","15 (hide armor, shield)","22 (5d8)","30 ft.","14","12","11","6","10","7","","","","","","","darkvision 60 ft., passive Perception 10","Gnoll","1/2 (100 XP)"," Rampage. When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage. Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack. Longbow. Ranged Weapon Attack: +3 to hit, range 150/600 ft., one target. Hit: 5 (1d8 + 1) piercing damage.","",""
"Hobgoblin","MM","Medium","humanoid (goblinoid)","lawful evil","18 (chain mail, shield)","11 (2d8 + 2)","30 ft.","13","12","12","10","10","9","","","","","","","darkvision 60 ft., passive Perception 10","Common, Goblin","1/2 (100 XP)"," Martial Advantage. Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated."," Longsword. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage, or 6 (1d10 + 1) slashing damage if used with two hands. Longbow. Ranged Weapon Attack: +3 to hit, range 150/600 ft., one target. Hit: 5 (1d8 + 1) piercing damage.","",""
"Lizardfolk","MM","Medium","humanoid (lizardfolk)","neutral","15 (natural armor, shield)","22 (4d8 + 4)","30 ft., swim 30 ft.","15","10","13","7","12","7","","Perception +3, Stealth +4, Survival +5","","","","","passive Perception 13","Draconic","1/2 (100 XP)"," Hold Breath. The lizardfolk can hold its breath for 15 minutes."," Multiattack. The lizardfolk makes two melee attacks, each one with a different weapon. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Heavy Club. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Spiked Shield. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","",""
