"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions"
"Animated Armor","MM","Medium","construct","unaligned","18 (natural armor)","33 (6d8 + 6)","25 ft.","14","11","13","1","3","1","","","","","poison, psychic","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned","blindsight 60 ft. (blind beyond this radius), passive Perception 6","—","1 (200 XP)"," Antimagic Susceptibility. The armor is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute. False Appearance. While the armor remains motionless, it is indistinguishable from a normal suit of armor."," Multiattack. The armor makes two melee attacks. Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.","",""
"Brown Bear","MM","Large","beast","unaligned","11 (natural armor)","34 (4d10 + 12)","40 ft., climb 30 ft.","19","10","16","2","13","7","","Perception +3","","","","","passive Perception 13","—","1 (200 XP)"," Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage. Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","",""
"Bugbear","MM","Medium","humanoid (goblinoid)","chaotic evil","16 (hide armor, shield)","27 (5d8 + 5)","30 ft.","15","14","13","8","11","9","","Stealth +6, Survival +2","","","","","darkvision 60 ft., passive Perception 10","Common, Goblin","1 (200 XP)"," Brute. A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack). Surprise Attack. If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack."," Morningstar. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 11 (2d8 + 2) piercing damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.","",""
"Death Dog","MM","Medium","monstrosity","neutral evil","12","39 (6d8 + 12)","40 ft.","15","14","14","3","13","6","","Perception +5, Stealth +4","","","","","darkvision 120 ft., passive Perception 15","—","1 (200 XP)"," Two-Headed. The dog has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, or knocked unconscious."," Multiattack. The dog makes two bite attacks. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a creature, it must succeed on a DC 12 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse, the creature must repeat the saving throw, reducing its hit point maximum by 5 (1d10) on a failure. This reduction lasts until the disease is cured. The creature dies if the disease reduces its hit point maximum to 0.","",""
"Dire Wolf","MM","Large","beast","unaligned","14 (natural armor)","37 (5d10 + 10)","50 ft.","17","15","15","3","12","7","","Perception +3, Stealth +4","","","","","passive Perception 13","—","1 (200 XP)"," Keen Hearing and Smell. The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","",""
"Ghoul","MM","Medium","undead","chaotic evil","12","22 (5d8)","30 ft.","13","15","10","7","10","6","","","","","poison","charmed, exhaustion, poisoned","darkvision 60 ft., passive Perception 10","Common","1 (200 XP)",""," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 9 (2d6 + 2) piercing damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage. If the target is a creature other than an elf or undead, it must succeed on a DC 10 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","",""
"Giant Eagle","MM","Large","beast","neutral good","13","26 (4d10 + 4)","10 ft., fly 80 ft.","16","17","13","8","14","10","","Perception +4","","","","","passive Perception 14","Giant Eagle, understands Common and Auran but can't speak them","1 (200 XP)"," Keen Sight. The eagle has advantage on Wisdom (Perception) checks that rely on sight."," Multiattack. The eagle makes two attacks: one with its beak and one with its talons. Beak. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage. Talons. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.","",""
"Giant Hyena","MM","Large","beast","unaligned","12","45 (6d10 + 12)","50 ft.","16","14","14","2","12","7","","Perception +3","","","","","passive Perception 13","—","1 (200 XP)"," Rampage. When the hyena reduces a creature to 0 hit points with a melee attack on its turn, the hyena can take a bonus action to move up to half its speed and make a bite attack."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage.","",""
"Giant Octopus","MM","Large","beast","unaligned","11","52 (8d10 + 8)","10 ft., swim 60 ft.","17","13","13","4","10","4","","Perception +4, Stealth +5","","","","","darkvision 60 ft., passive Perception 14","—","1 (200 XP)"," Hold Breath. While out of water, the octopus can hold its breath for 1 hour. Underwater Camouflage. The octopus has advantage on Dexterity (Stealth) checks made while underwater. Water Breathing. The octopus can breathe only underwater."," Tentacles. Melee Weapon Attack: +5 to hit, reach 15 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage. If the target is a creature, it is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the octopus can't use its tentacles on another target. Ink Cloud (Recharges after a Short or Long Rest). A 20-foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a bonus action.","",""
"Giant Spider","MM","Large","beast","unaligned","14 (natural armor)","26 (4d10 + 4)","30 ft., climb 30 ft.","14","16","12","2","11","4","","Stealth +7","","","","","blindsight 10 ft., darkvision 60 ft., passive Perception 10","—","1 (200 XP)"," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way. Web (Recharge 5–6). Ranged Weapon Attack: +5 to hit, range 30/60 ft., one creature. Hit: The target is restrained by webbing. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to bludgeoning, poison, and psychic damage).","",""
"Giant Toad","MM","Large","beast","unaligned","11","39 (6d10 + 6)","20 ft., swim 40 ft.","15","13","13","2","10","3","","","","","","","darkvision 30 ft., passive Perception 10","—","1 (200 XP)"," Amphibious. The toad can breathe air and water. Standing Leap. The toad's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 5 (1d10) poison damage, and the target is grappled (escape DC 13). Until this grapple ends, the target is restrained, and the toad can't bite another target. Swallow. The toad makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the toad, and it takes 10 (3d6) acid damage at the start of each of the toad's turns. The toad can have only one target swallowed at a time.If the toad dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.","",""
"Giant Vulture","MM","Large","beast","neutral evil","10","22 (3d10 + 6)","10 ft., fly 60 ft.","15","10","15","6","12","7","","Perception +3","","","","","passive Perception 13","understands Common but can't speak","1 (200 XP)"," Keen Sight and Smell. The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell. Pack Tactics. The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated."," Multiattack. The vulture makes two attacks: one with its beak and one with its talons. Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage. Talons. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage.","",""
"Harpy","MM","Medium","monstrosity","chaotic evil","11","38 (7d8 + 7)","20 ft., fly 40 ft.","12","13","12","7","10","13","","","","","","","passive Perception 10","Common","1 (200 XP)",""," Multiattack. The harpy makes two attacks: one with its claws and one with its club. Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage. Club. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage. Luring Song. The harpy sings a magical melody. Every humanoid and giant within 300 feet of the harpy that can hear the song must succeed on a DC 11 Wisdom saving throw or be charmed until the song ends. The harpy must take a bonus action on its subsequent turns to continue singing. It can stop singing at any time. The song ends if the harpy is incapacitated.While charmed by the harpy, a target is incapacitated and ignores the songs of other harpies. If the charmed target is more than 5 feet away from the harpy, the target must move on its turn toward the harpy by the most direct route. It doesn't avoid opportunity attacks, but before moving into damaging terrain, such as lava or a pit, and whenever it takes damage from a source other than the harpy, a target can repeat the saving throw. A creature can also repeat the saving throw at the end of each of its turns. If a creature's saving throw is successful, the effect ends on it.A target that successfully saves is immune to this harpy's song for the next 24 hours.","",""
"Hippogriff","MM","Large","monstrosity","unaligned","11","19 (3d10 + 3)","40 ft., fly 60 ft.","17","13","13","2","12","8","","Perception +5","","","","","passive Perception 15","—","1 (200 XP)"," Keen Sight. The hippogriff has advantage on Wisdom (Perception) checks that rely on sight."," Multiattack. The hippogriff makes two attacks: one with its beak and one with its claws. Beak. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage. Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.","",""
"Lion","MM","Large","beast","unaligned","12","26 (4d10 + 4)","50 ft.","17","15","13","3","12","8","","Perception +3, Stealth +6","","","","","passive Perception 13","—","1 (200 XP)"," Keen Smell. The lion has advantage on Wisdom (Perception) checks that rely on smell. Pack Tactics. The lion has advantage on an attack roll against a creature if at least one of the lion's allies is within 5 feet of the creature and the ally isn't incapacitated. Pounce. If the lion moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the lion can make one bite attack against it as a bonus action. Running Leap. With a 10-foot running start, the lion can long jump up to 25 feet."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage. Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.","",""
